,ATS__c,Industry,numJobs,awards,contentCount,followers,freshContent,photos,starRating,clicks,monthOfSignupPageViews,timeOnSite,intDifficulty,intDuration,has_interviews,basePayAmount,subsidiary,employeesTotalNum,RespondedContacts,employerId,isWon
3121,tbe,Travel & Tourism,141.0,0.0,134.0,230.0,20.0,0.0,2.24074074074,564.0,1968.0,118,2.6,26.0,1,38965.0,0,3000.0,1.0,544A5,False
3122,UNKNOWN,Retail,0.0,0.0,28.0,142.0,2.0,0.0,3.76923076923,,399.0,0,2.0,5.0,1,61425.0,0,500.0,,Gpfvd,False
3123,EMPLOYER SOURCE,Business Services,2.0,,,,,,,,,-245,2.0,3.0,1,0.0,0,27.0,,hbcE4,False
3124,other,Government,6.0,0.0,10.0,22.0,0.0,0.0,3.5,106.0,109.0,0,2.5,12.0,1,69670.0,0,325.0,2.0,6NIGe,False
3125,Jobvite,Information Technology,11.0,4.0,68.0,190.0,20.0,36.0,3.16666666667,180.0,2478.0,581,3.0,10.0,1,59247.0,0,350.0,1.0,VCA7f,False
3126,taleo,Advertising & Marketing,73.0,0.0,596.0,5054.0,62.0,0.0,3.10775862069,1190.0,11622.0,0,2.6,15.0,1,70990.0,1,10001.0,,oAKdm,False
3127,CustomCrawl,Health Care,2.0,0.0,60.0,296.0,10.0,0.0,3.76,14.0,744.0,-252,2.8,7.0,1,53205.0,0,3800.0,,j22h0,False
3128,CustomCrawl,Finance,875.0,30.0,3250.0,13746.0,378.0,30.0,3.45309882747,7377.0,54184.0,1063,2.8,21.0,1,64414.0,0,89000.0,72.0,NU7dS,False
3129,UNKNOWN,"Construction, Repair & Maintenance",0.0,0.0,38.0,42.0,18.0,0.0,2.875,50.0,271.0,547,2.0,2.0,1,56274.0,0,800.0,6.0,07EBL,False
3130,workDay,Retail,1574.0,8.0,2124.0,8086.0,236.0,22.0,3.26804123711,3768.0,32422.0,304,2.5,16.0,1,44466.0,0,9184.0,25.0,VxWRL,False
3131,icims,Business Services,124.0,0.0,30.0,62.0,4.0,0.0,2.72727272727,132.0,380.0,0,2.5,14.0,1,71701.0,0,200.0,1.0,sFZVc,False
3132,CustomCrawl,Manufacturing,5.0,0.0,34.0,80.0,16.0,2.0,2.2,97.0,772.0,-112,2.3,15.0,1,38032.0,0,150.0,4.0,LKo8x,False
3133,workDay,Information Technology,36.0,0.0,2.0,4.0,2.0,0.0,,1.0,818.0,0,2.7,6.0,1,80854.0,0,3000.0,,tBgGZ,True
3134,UNKNOWN,Retail,0.0,0.0,22.0,24.0,14.0,20.0,4.09090909091,,100.0,47,3.0,1.0,1,53210.0,0,125.0,2.0,d5pl1,False
3135,CustomCrawl,Health Care,101.0,0.0,40.0,92.0,0.0,0.0,2.11111111111,488.0,1258.0,386,3.0,3.0,1,57253.0,0,747.0,6.0,8Av5f,False
3136,UNKNOWN,,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,39,,,0,0.0,0,25.0,2.0,ywxrr,False
3137,UNKNOWN,Advertising & Marketing,0.0,0.0,46.0,60.0,18.0,0.0,2.31818181818,6.0,1416.0,61,2.7,10.0,1,38647.0,0,244.0,,PwcHk,False
3138,UNKNOWN,"Arts, Entertainment & Recreation",0.0,0.0,44.0,104.0,0.0,2.0,3.68181818182,,268.0,1071,,,0,65737.0,0,100.0,3.0,8pHHL,False
3139,iCIMS Master Feed,Business Services,1.0,0.0,96.0,332.0,14.0,0.0,2.38461538462,16.0,375.0,261,3.0,19.0,1,108054.0,0,55.0,2.0,cfLP5,False
3140,EMPLOYER SOURCE,,8.0,0.0,0.0,0.0,0.0,0.0,,,0.0,208,,,0,0.0,0,10.0,2.0,qbx96,False
3141,app.theresumator.com,Computer Hardware & Software,7.0,0.0,4.0,14.0,4.0,0.0,5.0,161.0,846.0,83,4.0,5.0,1,54273.0,0,32.0,4.0,DDMMK,False
3142,CustomCrawl,Business Services,4.0,0.0,60.0,158.0,6.0,6.0,3.14814814815,38.0,386.0,1050,3.0,34.0,1,111874.0,0,25.0,2.0,mOsN7,False
3143,other,Information Technology,16.0,0.0,46.0,88.0,0.0,0.0,3.33333333333,36.0,1064.0,602,2.8,9.0,1,105841.0,0,26.0,1.0,bkKzQ,False
3144,UNKNOWN,Health Care,0.0,0.0,72.0,164.0,10.0,0.0,2.35483870968,96.0,1597.0,391,2.5,30.0,1,64933.0,0,350.0,4.0,2rKIU,False
3145,other,Travel & Tourism,3.0,0.0,38.0,62.0,8.0,6.0,2.84615384615,62.0,288.0,1031,1.4,6.0,1,48575.0,0,3000.0,4.0,XxrVW,False
3146,UNKNOWN,Retail,0.0,8.0,110.0,370.0,32.0,24.0,3.13636363636,154.0,2993.0,509,2.8,17.0,1,19918.0,0,3000.0,10.0,a6XIS,False
3147,CustomCrawl,Business Services,12.0,0.0,28.0,28.0,2.0,0.0,3.42857142857,76.0,288.0,641,,,0,47191.0,0,550.0,9.0,0bL1c,False
3148,UNKNOWN,Retail,0.0,0.0,76.0,574.0,14.0,20.0,3.78787878788,1064.0,1382.0,525,1.5,9.0,1,26662.0,0,111.0,3.0,P1nLN,False
3149,CustomCrawl,Non-Profit,6.0,0.0,30.0,108.0,2.0,0.0,4.16666666667,35.0,413.0,0,2.5,48.0,1,63618.0,0,112.0,2.0,NbPJK,False
3150,UNKNOWN,Manufacturing,0.0,0.0,26.0,60.0,4.0,0.0,3.6,,259.0,216,2.3,10.0,1,97890.0,0,3.0,3.0,9P0Zl,False
3151,tbe,Biotech & Pharmaceuticals,33.0,0.0,94.0,288.0,4.0,0.0,3.14285714286,483.0,2817.0,0,2.9,31.0,1,75942.0,0,290.0,2.0,PPCaR,False
3152,UNKNOWN,Health Care,0.0,0.0,190.0,844.0,18.0,0.0,2.29069767442,14.0,1739.0,0,1.7,8.0,1,81838.0,0,13.0,,CDDO4,False
3153,UNKNOWN,"Arts, Entertainment & Recreation",0.0,0.0,0.0,0.0,0.0,6.0,,,65.0,87,,,0,0.0,0,25.0,1.0,ipAt4,False
3154,CustomCrawl,Information Technology,3.0,0.0,2.0,10.0,0.0,0.0,,,347.0,293,4.0,,0,156250.0,0,125.0,1.0,iS3tg,False
3155,ApplicantPro,Information Technology,2.0,0.0,32.0,52.0,18.0,0.0,4.14285714286,160.0,1504.0,108,2.5,9.0,1,68205.0,0,125.0,,u0qtC,False
3156,WorkableHR.com,Finance,8.0,0.0,26.0,50.0,4.0,6.0,3.83333333333,186.0,1323.0,31,2.5,6.0,1,44384.0,0,350.0,1.0,oScnB,False
3157,UNKNOWN,Retail,0.0,8.0,26.0,38.0,2.0,20.0,4.2,,120.0,472,2.5,8.0,1,0.0,0,139.0,2.0,MM2ud,False
3158,EMPLOYER SOURCE,Government,2.0,0.0,26.0,62.0,6.0,0.0,2.5,36.0,389.0,0,2.4,1.0,1,52985.0,0,600.0,1.0,Vh5R0,False
3159,UNKNOWN,Information Technology,0.0,0.0,10.0,20.0,4.0,0.0,3.4,,95.0,955,,,0,73694.0,0,38.0,,IDyqE,False
3160,EMPLOYER SOURCE,Insurance,1.0,0.0,46.0,52.0,4.0,0.0,2.4,131.0,469.0,67,2.7,,0,60895.0,0,350.0,1.0,eu5WA,True
3161,other,Biotech & Pharmaceuticals,10.0,0.0,78.0,192.0,4.0,0.0,2.9,240.0,1758.0,0,2.6,19.0,1,90121.0,0,525.0,10.0,IIzYT,False
3162,Jobvite,Computer Hardware & Software,26.0,12.0,80.0,188.0,2.0,60.0,4.93333333333,398.0,4290.0,874,3.6,19.0,1,60596.0,0,125.0,1.0,eQ0vf,False
3163,greenhouse,Information Technology,12.0,2.0,38.0,48.0,14.0,32.0,4.9,22.0,335.0,743,3.1,13.0,1,62500.0,0,,3.0,X7Aco,False
3164,CustomCrawl,Computer Hardware & Software,51.0,4.0,432.0,790.0,46.0,34.0,3.99382716049,823.0,6227.0,755,3.3,23.0,1,68414.0,1,1000.0,5.0,ewWpW,False
3165,CustomCrawl,Aerospace & Defense,17.0,2.0,54.0,100.0,10.0,0.0,3.85714285714,166.0,407.0,0,2.1,17.0,1,74569.0,0,750.0,4.0,WL0cw,False
3166,UNKNOWN,Information Technology,0.0,0.0,38.0,60.0,10.0,0.0,3.86666666667,47.0,390.0,-19,3.0,5.0,1,76785.0,0,197.0,1.0,nAhG5,False
3167,other,Computer Hardware & Software,1.0,0.0,16.0,136.0,16.0,0.0,3.57142857143,437.0,1166.0,120,2.3,14.0,1,72707.0,0,350.0,2.0,zFJ4O,True
3168,CustomCrawl,Information Technology,90.0,0.0,34.0,80.0,10.0,0.0,2.57142857143,2.0,1646.0,640,2.5,12.0,1,264702.0,0,750.0,3.0,rcDCR,True
3169,CustomCrawl,Advertising & Marketing,13.0,2.0,328.0,1080.0,36.0,26.0,3.73188405797,84.0,2564.0,1014,2.5,11.0,1,57221.0,0,125.0,4.0,ReOly,False
3170,UNKNOWN,Education,0.0,0.0,298.0,594.0,48.0,12.0,3.01666666667,85.0,2631.0,1019,2.5,14.0,1,42745.0,0,1954.0,3.0,7MBBF,False
3171,UNKNOWN,Business Services,0.0,0.0,46.0,60.0,10.0,12.0,2.77777777778,,794.0,207,2.6,3.0,1,36663.0,0,87.0,3.0,vZboV,False
3172,MyStaffingPro,Aerospace & Defense,12.0,0.0,0.0,4.0,0.0,0.0,,33.0,33.0,113,,,0,125000.0,0,25.0,,F8d6A,False
3173,CustomCrawl,Business Services,6.0,0.0,12.0,34.0,8.0,0.0,5.0,102.0,407.0,111,4.3,37.0,1,63946.0,0,42.0,2.0,2vCOO,False
3174,CustomCrawl,Non-Profit,36.0,0.0,76.0,120.0,14.0,0.0,2.03333333333,391.0,789.0,314,3.3,79.0,1,49444.0,0,350.0,4.0,elFWR,False
3175,MyStaffingPro,Business Services,320.0,0.0,162.0,262.0,30.0,4.0,2.36923076923,847.0,2163.0,1013,2.4,29.0,1,57929.0,0,7500.0,3.0,B7tah,True
3176,UNKNOWN,Finance,0.0,8.0,2860.0,19350.0,290.0,60.0,3.49673202614,3175.0,35977.0,609,3.0,36.0,1,1514645.0,0,85231.0,67.0,9Fo9F,False
3177,other,Health Care,57.0,0.0,46.0,80.0,2.0,0.0,2.55,358.0,950.0,628,2.3,8.0,1,52500.0,0,1904.0,7.0,dnqOu,False
3178,CustomCrawl,Retail,206.0,0.0,130.0,216.0,4.0,8.0,3.23214285714,322.0,1646.0,56,1.9,7.0,1,25925.0,0,3000.0,8.0,bOHyk,False
3179,UNKNOWN,Advertising & Marketing,0.0,0.0,18.0,22.0,4.0,0.0,3.55555555556,25.0,56.0,0,,,0,75905.0,0,23.0,,rdhOI,False
3180,CustomCrawl,Manufacturing,31.0,0.0,52.0,206.0,0.0,2.0,2.7,67.0,1075.0,-179,3.3,30.0,1,102673.0,0,9500.0,3.0,eYLQd,False
3181,UNKNOWN,"Restaurants, Bars & Food Services",0.0,0.0,8.0,14.0,4.0,0.0,3.5,2.0,63.0,102,1.6,10.0,1,21641.0,0,22.0,,WdmkD,False
3182,UNKNOWN,Business Services,0.0,0.0,12.0,34.0,10.0,0.0,3.2,71.0,325.0,52,2.0,11.0,1,83553.0,0,50.0,3.0,oOYCY,False
3183,ultiRecruit,Insurance,136.0,,,,,,,,,13,2.5,13.0,1,61935.0,0,9000.0,42.0,oCEUt,False
3184,UNKNOWN,Manufacturing,0.0,0.0,2.0,22.0,0.0,0.0,2.0,44.0,171.0,0,,,0,90924.0,0,68.0,1.0,oEtY4,False
3185,CustomCrawl,"Construction, Repair & Maintenance",3.0,2.0,250.0,816.0,28.0,6.0,3.2523364486,1521.0,5675.0,1094,2.4,30.0,1,79618.0,0,1700.0,7.0,eQDhe,False
3186,CustomCrawl,Advertising & Marketing,2.0,4.0,50.0,88.0,4.0,10.0,4.17391304348,,290.0,0,3.0,23.0,1,39016.0,0,9.0,1.0,eeBDQ,False
3187,tbe,Non-Profit,40.0,0.0,144.0,520.0,10.0,2.0,3.36363636364,405.0,1993.0,1014,2.5,30.0,1,64964.0,0,750.0,2.0,Avt4g,False
3188,CustomCrawl,Business Services,4.0,0.0,2.0,2.0,0.0,0.0,5.0,,9.0,46,3.0,15.0,1,0.0,0,125.0,1.0,5FvcV,False
3189,EMPLOYER SOURCE,Travel & Tourism,15.0,0.0,138.0,254.0,32.0,6.0,3.98181818182,18.0,1932.0,665,3.4,32.0,1,24417.0,0,,1.0,l514S,False
3190,EMPLOYER SOURCE,Business Services,1.0,0.0,10.0,22.0,2.0,0.0,4.33333333333,,202.0,0,2.7,14.0,1,40500.0,0,125.0,1.0,u6HlY,True
3191,UNKNOWN,Manufacturing,0.0,0.0,10.0,10.0,8.0,0.0,4.0,,3.0,91,,,0,0.0,0,4.0,1.0,I4X0Z,False
3192,CustomCrawl,Manufacturing,105.0,14.0,256.0,498.0,44.0,36.0,3.0,302.0,3997.0,913,2.1,24.0,1,86961.0,0,15400.0,9.0,0aySS,False
3193,UNKNOWN,Health Care,0.0,0.0,4.0,6.0,0.0,0.0,2.0,,53.0,101,3.0,1.0,1,38943.0,0,75.0,1.0,S3q7t,False
3194,EMPLOYER SOURCE,Computer Hardware & Software,1.0,4.0,30.0,52.0,2.0,40.0,4.8,,1006.0,429,3.4,41.0,1,80375.0,0,25.0,2.0,OA7NM,True
3195,other,Real Estate,32.0,0.0,22.0,68.0,6.0,2.0,3.44444444444,235.0,1818.0,58,2.7,11.0,1,45238.0,0,800.0,3.0,Cl3a6,True
3196,UNKNOWN,,0.0,0.0,2.0,12.0,2.0,0.0,4.0,58.0,38.0,85,3.0,,0,58240.0,0,125.0,1.0,1iLAR,False
3197,UNKNOWN,Business Services,0.0,0.0,2.0,28.0,0.0,0.0,3.0,,164.0,74,,,0,0.0,1,38.0,1.0,ApkKY,False
3198,UNKNOWN,Consumer Services,0.0,0.0,2.0,38.0,0.0,0.0,3.0,46.0,183.0,489,2.0,14.0,1,34040.0,0,350.0,3.0,IHD37,False
3199,UNKNOWN,"Oil, Gas, Energy & Utilities",0.0,8.0,12.0,24.0,0.0,34.0,4.83333333333,,32.0,368,,,0,0.0,0,43.0,1.0,KAIRN,False
3200,CustomCrawl,Computer Hardware & Software,10.0,0.0,48.0,62.0,6.0,2.0,4.23076923077,235.0,1477.0,240,3.0,18.0,1,77080.0,0,38.0,4.0,6WqH7,False
3201,UNKNOWN,Advertising & Marketing,0.0,2.0,52.0,70.0,6.0,22.0,3.04347826087,,88.0,912,3.3,16.0,1,74502.0,0,12.0,3.0,2jrTy,False
3202,UNKNOWN,Business Services,0.0,0.0,86.0,224.0,14.0,0.0,2.82051282051,187.0,1336.0,140,2.7,21.0,1,48165.0,0,7500.0,6.0,H16rC,False
3203,greenhouse,Computer Hardware & Software,6.0,0.0,6.0,46.0,2.0,0.0,,44.0,334.0,0,3.5,9.0,1,146004.0,0,125.0,2.0,ZSIMv,False
3204,OpenHire (FTP Feed),Health Care,99.0,0.0,12.0,10.0,0.0,0.0,4.5,129.0,344.0,0,1.0,14.0,1,61984.0,0,212.0,,UEYZE,False
3205,other,Manufacturing,339.0,6.0,1240.0,9584.0,126.0,8.0,3.48765432099,9340.0,,1227,2.8,26.0,1,69561.0,0,58000.0,27.0,fl0Kv,False
3206,UNKNOWN,Information Technology,0.0,2.0,46.0,58.0,16.0,0.0,2.83333333333,,253.0,576,2.2,2.0,1,74297.0,0,125.0,3.0,MRRJa,False
3207,greenhouse,Computer Hardware & Software,74.0,4.0,48.0,132.0,20.0,60.0,4.0,714.0,5480.0,240,2.6,16.0,1,89535.0,0,350.0,1.0,vC7Db,True
3208,UNKNOWN,Information Technology,0.0,0.0,18.0,20.0,0.0,0.0,3.28571428571,1.0,65.0,223,3.0,29.0,1,37900.0,0,3.0,1.0,xO35T,False
3209,OpenHire (FTP Feed),Business Services,212.0,20.0,246.0,722.0,22.0,56.0,3.26732673267,916.0,4668.0,153,2.5,18.0,1,94945.0,0,3000.0,17.0,dA0cY,False
3210,UNKNOWN,Information Technology,0.0,2.0,32.0,60.0,4.0,10.0,3.0,25.0,577.0,738,2.2,13.0,1,56439.0,0,16.0,3.0,QVA95,False
3211,EMPLOYER SOURCE,Information Technology,2.0,0.0,8.0,16.0,8.0,0.0,4.0,,4.0,37,,,0,0.0,0,23.0,1.0,WLIUK,False
3212,iCIMS Master Feed,Information Technology,60.0,0.0,26.0,62.0,16.0,0.0,4.2,443.0,1108.0,77,3.0,13.0,1,92670.0,0,125.0,2.0,oBGsC,False
3213,UNKNOWN,Non-Profit,0.0,0.0,16.0,120.0,2.0,0.0,4.4,62.0,526.0,84,3.0,23.0,1,55874.0,0,73.0,1.0,xKqgG,False
3214,other,Biotech & Pharmaceuticals,160.0,4.0,264.0,1178.0,42.0,0.0,2.58035714286,2321.0,12612.0,1058,3.0,36.0,1,116495.0,0,3000.0,21.0,L2ERV,False
3215,WorkforceNow,Accounting & Legal,9.0,14.0,36.0,112.0,8.0,14.0,3.64285714286,491.0,889.0,305,2.6,10.0,1,86808.0,0,125.0,1.0,TjDBK,False
3216,Jobvite,Information Technology,632.0,8.0,804.0,3064.0,90.0,34.0,3.45,6564.0,37419.0,1049,3.0,22.0,1,121549.0,0,3686.0,7.0,0TQqW,False
3217,CustomCrawl,Information Technology,9.0,0.0,116.0,1596.0,4.0,8.0,3.10416666667,166.0,618.0,0,3.2,15.0,1,495164.0,0,5090.0,14.0,LReJF,False
3218,iCIMS Master Feed,Information Technology,19.0,0.0,24.0,130.0,2.0,0.0,2.91666666667,129.0,669.0,116,3.0,33.0,1,89025.0,0,100.0,,uaGA2,False
3219,WorkforceNow,Computer Hardware & Software,10.0,24.0,146.0,396.0,2.0,40.0,3.09090909091,77.0,,1151,3.0,40.0,1,83500.0,0,125.0,4.0,5ooau,False
3220,UNKNOWN,Finance,0.0,0.0,2.0,4.0,0.0,0.0,,,59.0,0,1.0,120.0,1,20800.0,0,35.0,1.0,qMHjI,False
3221,CustomCrawl,Information Technology,23.0,6.0,36.0,84.0,16.0,12.0,3.75,58.0,982.0,788,2.7,18.0,1,86997.0,0,125.0,5.0,GVJbO,False
3222,UNKNOWN,Finance,0.0,0.0,86.0,218.0,30.0,0.0,3.3,268.0,2796.0,98,2.5,62.0,1,52724.0,0,3000.0,30.0,cJOmJ,False
3223,UNKNOWN,Health Care,0.0,0.0,14.0,28.0,0.0,0.0,3.5,60.0,124.0,436,2.5,8.0,1,31074.0,0,350.0,2.0,H0ZZD,False
3224,CustomCrawl,"Oil, Gas, Energy & Utilities",13.0,0.0,12.0,12.0,12.0,0.0,4.66666666667,28.0,157.0,134,2.0,,0,60000.0,0,10.0,1.0,9Wp5j,False
3225,other,Health Care,303.0,4.0,26.0,82.0,4.0,0.0,4.41666666667,305.0,746.0,679,1.3,7.0,1,41657.0,0,3000.0,13.0,F6MpZ,False
3226,UNKNOWN,,0.0,0.0,6.0,14.0,2.0,0.0,5.0,,1003.0,0,2.7,25.0,1,54280.0,0,750.0,2.0,H1Kit,False
3227,WorkforceNow,Finance,15.0,0.0,56.0,1456.0,2.0,0.0,2.75,1139.0,1112.0,-45,1.7,8.0,1,84813.0,0,350.0,4.0,SqO9Q,False
3228,SmartRecruiters,,4.0,0.0,2.0,12.0,0.0,0.0,5.0,50.0,105.0,213,,,0,75000.0,0,15.0,1.0,n00qI,False
3229,ultiRecruit,Manufacturing,11.0,10.0,132.0,294.0,22.0,14.0,2.53571428571,292.0,2314.0,787,2.7,18.0,1,94554.0,1,350.0,11.0,GamSK,False
3230,CustomCrawl,Information Technology,6.0,0.0,22.0,42.0,6.0,0.0,2.875,54.0,820.0,45,2.3,8.0,1,117022.0,0,125.0,1.0,7NSV1,False
3231,UNKNOWN,,0.0,0.0,2.0,24.0,0.0,0.0,5.0,413.0,121.0,46,,,0,0.0,0,10.0,1.0,QtaUO,False
3232,CustomCrawl,Manufacturing,102.0,0.0,38.0,54.0,2.0,0.0,3.72222222222,147.0,242.0,499,3.0,42.0,1,93618.0,0,230.0,3.0,qdZSK,False
3233,Jobvite,Advertising & Marketing,33.0,10.0,18.0,46.0,0.0,30.0,4.57142857143,,1192.0,0,3.0,12.0,1,59000.0,1,350.0,2.0,aOCaK,True
3234,UNKNOWN,Finance,0.0,0.0,0.0,0.0,0.0,0.0,,,71.0,0,,,0,0.0,0,25.0,,uP9d3,False
3235,UNKNOWN,Health Care,0.0,2.0,0.0,2.0,0.0,0.0,,,9.0,53,3.0,6.0,1,28080.0,0,350.0,2.0,nhnx9,False
3236,other,Retail,4.0,0.0,38.0,80.0,2.0,14.0,3.78571428571,370.0,243.0,344,2.3,9.0,1,33280.0,0,11.0,2.0,5aQmy,False
3237,UNKNOWN,,0.0,0.0,0.0,14.0,0.0,0.0,,,3.0,0,,,0,0.0,0,25.0,,f8PLn,False
3238,Jobvite,Consumer Services,8.0,0.0,26.0,36.0,2.0,0.0,2.7,24.0,355.0,127,1.0,30.0,1,57624.0,0,100.0,3.0,C1x1a,False
3239,CustomCrawl,Health Care,33.0,0.0,480.0,2182.0,54.0,14.0,3.03349282297,1715.0,9649.0,734,2.8,29.0,1,64594.0,0,46000.0,47.0,qPwwe,True
3240,CustomCrawl,Computer Hardware & Software,14.0,4.0,40.0,92.0,4.0,34.0,4.94117647059,610.0,2491.0,399,3.3,15.0,1,104644.0,0,350.0,16.0,zjwjD,False
3241,CustomCrawl,Finance,12.0,2.0,14.0,28.0,0.0,0.0,3.33333333333,32.0,276.0,562,3.0,,0,96641.0,0,970.0,4.0,w3phC,False
3242,UNKNOWN,Information Technology,0.0,0.0,12.0,20.0,2.0,0.0,4.0,18.0,203.0,0,3.0,1.0,1,1103333.0,0,200.0,,yrvp0,False
3243,icims,Finance,78.0,0.0,340.0,866.0,28.0,6.0,3.21232876712,1155.0,3454.0,1021,2.2,13.0,1,51777.0,0,3400.0,3.0,z3nKP,False
3244,other,Education,17.0,0.0,120.0,314.0,6.0,8.0,2.91489361702,221.0,1131.0,92,2.4,56.0,1,55517.0,0,1300.0,1.0,uKKNg,False
3245,EMPLOYER SOURCE,"Restaurants, Bars & Food Services",50.0,0.0,106.0,342.0,10.0,8.0,3.63414634146,20.0,1012.0,64,2.0,11.0,1,31957.0,0,3000.0,6.0,TaVOI,False
3246,SmartRecruiters,Computer Hardware & Software,10.0,8.0,420.0,1176.0,42.0,48.0,2.8198757764,79.0,5947.0,950,2.9,20.0,1,516731.0,0,750.0,20.0,EEOQ9,False
3247,CustomCrawl,Transportation & Logistics,32.0,24.0,1634.0,5880.0,140.0,30.0,3.36496350365,1165.0,21014.0,1124,2.7,32.0,1,69698.0,0,47457.0,11.0,vC6YV,False
3248,UNKNOWN,Consumer Services,0.0,0.0,14.0,22.0,0.0,0.0,4.6,51.0,238.0,228,1.5,4.0,1,42960.0,0,25.0,2.0,L9h1g,False
3249,other,"Oil, Gas, Energy & Utilities",36.0,2.0,446.0,1486.0,74.0,0.0,3.72777777778,297.0,5059.0,233,2.8,21.0,1,81554.0,0,7500.0,20.0,sJ9J7,False
3250,EMPLOYER SOURCE,Retail,2.0,0.0,86.0,156.0,14.0,0.0,3.61290322581,71.0,1772.0,118,2.8,20.0,1,331746.0,0,30.0,4.0,1vYrp,False
3251,WorkableHR.com,Computer Hardware & Software,7.0,0.0,98.0,166.0,46.0,8.0,3.65517241379,838.0,6189.0,265,2.2,10.0,1,47055.0,0,25.0,10.0,fdBU1,False
3252,greenhouse,Information Technology,4.0,4.0,2.0,16.0,2.0,22.0,,161.0,1014.0,42,3.0,14.0,1,82499.0,1,350.0,2.0,OyeG5,False
3253,other,Finance,52.0,22.0,72.0,104.0,8.0,24.0,3.8125,229.0,1829.0,588,2.4,13.0,1,51531.0,0,350.0,4.0,1yUYx,False
3254,ApplicantPro,Information Technology,28.0,0.0,6.0,10.0,2.0,0.0,4.5,197.0,246.0,310,4.0,7.0,1,89000.0,0,47.0,1.0,l03tj,False
3255,WorkableHR.com,Computer Hardware & Software,1.0,0.0,0.0,6.0,0.0,10.0,,14.0,66.0,76,,,0,59373.0,0,10.0,2.0,d85Qv,False
3256,greenhouse,Information Technology,18.0,0.0,16.0,18.0,14.0,26.0,3.125,553.0,2122.0,130,3.0,45.0,1,103113.0,0,325.0,3.0,ImkgC,False
3257,CustomCrawl,Travel & Tourism,17.0,0.0,26.0,56.0,16.0,2.0,3.8,121.0,1043.0,543,1.3,8.0,1,146500.0,0,350.0,2.0,Ek6b2,True
3258,other,Non-Profit,71.0,0.0,144.0,404.0,10.0,0.0,2.88461538462,692.0,,1089,2.8,17.0,1,58108.0,0,3000.0,5.0,WeNDN,False
3259,MyStaffingPro,Health Care,92.0,0.0,66.0,228.0,10.0,0.0,3.46153846154,212.0,1402.0,92,2.3,12.0,1,69101.0,0,3000.0,2.0,jQa2s,False
3260,iCIMS Master Feed,"Construction, Repair & Maintenance",26.0,12.0,126.0,248.0,16.0,20.0,3.98148148148,475.0,1735.0,622,2.4,16.0,1,68067.0,0,1000.0,2.0,u1OEY,False
3261,other,Advertising & Marketing,14.0,22.0,22.0,106.0,2.0,34.0,4.0,400.0,2169.0,796,,,0,65408.0,0,125.0,8.0,niTHV,False
3262,other,Real Estate,27.0,0.0,28.0,110.0,6.0,20.0,2.36363636364,402.0,1344.0,105,3.3,21.0,1,53542.0,0,750.0,9.0,Ple4r,False
3263,EMPLOYER SOURCE,Business Services,1.0,0.0,22.0,24.0,2.0,0.0,3.18181818182,,359.0,69,1.0,14.0,1,38222.0,0,125.0,1.0,QKYlV,False
3264,EMPLOYER SOURCE,Education,1.0,0.0,224.0,404.0,46.0,24.0,2.82278481013,26.0,2754.0,978,2.6,21.0,1,3415587.0,1,473.0,6.0,6WWHB,True
3265,UNKNOWN,Computer Hardware & Software,0.0,28.0,144.0,272.0,16.0,24.0,4.40476190476,397.0,8559.0,874,3.2,24.0,1,70826.0,0,750.0,1.0,TVp7G,True
3266,kenexaBrassRing,Education,243.0,0.0,154.0,402.0,26.0,10.0,3.24193548387,1136.0,2759.0,852,2.5,20.0,1,42952.0,0,9500.0,11.0,Aybjb,False
3267,tbe,Real Estate,340.0,8.0,624.0,2682.0,62.0,28.0,2.91701244813,4285.0,10239.0,850,2.5,22.0,1,44384.0,0,7500.0,14.0,omKyx,False
3268,CustomCrawl,Computer Hardware & Software,19.0,2.0,84.0,180.0,14.0,34.0,3.30303030303,1072.0,4185.0,659,3.2,13.0,1,87791.0,0,350.0,6.0,uqT3e,False
3269,other,"Construction, Repair & Maintenance",32.0,4.0,10.0,30.0,0.0,0.0,2.4,219.0,371.0,117,2.0,7.0,1,65292.0,0,3000.0,2.0,4kP2s,False
3270,EMPLOYER SOURCE,Retail,13.0,0.0,148.0,240.0,18.0,0.0,1.71666666667,87.0,877.0,866,1.9,12.0,1,32289.0,0,350.0,2.0,KaqIv,True
3271,EMPLOYER SOURCE,Business Services,1.0,10.0,252.0,666.0,36.0,104.0,3.02702702703,448.0,3225.0,966,2.6,13.0,1,69203.0,0,3000.0,24.0,8Mvw0,False
3272,ultiRecruit,Insurance,152.0,0.0,222.0,592.0,14.0,0.0,3.4,1702.0,3028.0,0,2.8,20.0,1,70111.0,1,6000.0,5.0,PiemX,False
3273,other,Manufacturing,21.0,0.0,22.0,54.0,4.0,8.0,4.11111111111,143.0,717.0,494,3.0,147.0,1,74984.0,0,350.0,11.0,fqWB6,False
3274,UNKNOWN,Advertising & Marketing,0.0,0.0,28.0,256.0,4.0,0.0,2.33333333333,122.0,678.0,329,2.3,13.0,1,74714.0,0,55.0,,QFkrn,False
3275,UNKNOWN,Retail,0.0,0.0,46.0,130.0,2.0,0.0,1.55,17.0,467.0,772,2.2,9.0,1,25103.0,0,350.0,5.0,tCo2m,False
3276,other,Education,11.0,0.0,116.0,470.0,24.0,0.0,3.81395348837,282.0,490.0,0,2.5,11.0,1,126614.0,0,3000.0,,FThY7,False
